id_producto,nombre_producto,categoria_producto,precio_producto,id_usuario,nombre_usuario,edad_usuario,genero_usuario,ubicacion_usuario,historial_compras,fecha_venta,cantidad_vendida,opiniones_usuarios,visitas_producto,carrito_abandonado,descuentos_aplicados,metodo_pago,frecuencia_compras,dispositivo_uso
1290,Producto C,Electronica,286.86,121,Juan,59,H,Ciudad C,"Producto D,Producto B,Producto C",11/02/23,3,4,3,0,15,Transferencia,Trimestral,Tablet
1177,Producto B,Ropa,227.94,129,Ana,39,M,Ciudad A,"Producto B,Producto A",31/01/23,9,4,12,0,15,Transferencia,Semanal,Desktop
1839,Producto B,Electronica,52.42,167,Maria,20,M,Ciudad B,"Producto D,Producto A",6/02/23,2,1,2,0,5,PayPal,Trimestral,Móvil
1667,Producto A,Ropa,325.7,137,Ana,21,H,Ciudad B,"Producto D,Producto A,Producto D",20/03/23,8,5,12,0,0,PayPal,Semanal,Desktop
1140,Producto A,Hogar,293.11,153,Carlos,46,H,Ciudad C,"Producto B,Producto B,Producto D,Producto A",11/01/23,3,2,17,0,20,Tarjeta,Semanal,Móvil
1036,Producto C,Ropa,323.62,189,Juan,66,H,Ciudad A,"Producto D,Producto B,Producto C,Producto D",20/10/23,1,4,13,0,10,Transferencia,Semanal,Desktop
1823,Producto B,Juguetes,361.0,126,Luis,65,H,Ciudad A,"Producto C,Producto B",3/07/23,9,4,12,0,20,PayPal,Semanal,Móvil
1478,Producto A,Juguetes,305.54,122,Juan,21,M,Ciudad A,"Producto C,Producto D,Producto C",2/12/23,9,1,9,0,0,Tarjeta,Semanal,Móvil
1616,Producto D,Ropa,190.07,103,Luis,61,M,Ciudad B,"Producto D,Producto A,Producto C,Producto B",25/06/23,8,2,13,0,10,Tarjeta,Mensual,Tablet
1577,Producto A,Ropa,437.93,166,Sofia,33,H,Ciudad B,"Producto C,Producto C,Producto D,Producto D",18/01/23,5,2,11,0,0,Transferencia,Mensual,Desktop
1476,Producto B,Juguetes,244.69,186,Maria,60,M,Ciudad C,"Producto A,Producto D,Producto D",18/01/23,3,2,2,0,10,Efectivo,Mensual,Desktop
1119,Producto C,Hogar,482.29,186,Sofia,26,M,Ciudad A,"Producto D,Producto C,Producto C",23/04/23,2,2,1,1,5,PayPal,Trimestral,Móvil
1798,Producto B,Ropa,297.31,135,Maria,54,H,Ciudad A,Producto C,21/04/23,4,2,18,1,15,PayPal,Trimestral,Desktop
1589,Producto A,Electronica,421.47,181,Carlos,63,H,Ciudad C,"Producto D,Producto D,Producto D",12/06/23,7,4,3,0,15,Efectivo,Semanal,Tablet
